symbol,time,fpkm
128up,Early,92.6703659821802
128up,Late,46.424239277746
14-3-3epsilon,Early,1081.26736670335
14-3-3epsilon,Late,851.1661923511381
14-3-3zeta,Early,385.43259321979053
14-3-3zeta,Late,372.618156154497
140up,Early,15.8104503047759
140up,Late,12.54075281200955
18w,Early,23.5311083483286
18w,Late,29.92976122192345
26-29-p,Early,168.5311900910705
26-29-p,Late,211.9776458081775
2mit,Early,0
2mit,Late,0.5055719417226755
312,Early,10.029734696110854
312,Late,10.326439636636335
4EHP,Early,28.0103932809266
4EHP,Late,27.1299541487911
5-HT1A,Early,0
5-HT1A,Late,0.1037765786151975
5-HT1B,Early,0.01830854638068385
5-HT1B,Late,0
5-HT2,Early,0
5-HT2,Late,0.9011075268270035
5PtaseI,Early,7.2345461735538645
5PtaseI,Late,9.93709207425522
7B2,Early,0
7B2,Late,1.398304835549425
A16,Early,13.73978271947515
A16,Late,7.624695817992265
A2bp1,Early,831.843615741484
A2bp1,Late,387.128858964483
ABCB7,Early,19.2646167401518
ABCB7,Late,9.74759854310264
ACC,Early,4.220057177839225
ACC,Late,3.75218310693791
AGO1,Early,396.57424591323604
AGO1,Late,373.0583065689645
AGO2,Early,159.27418000407
AGO2,Late,114.74566309820949
AGO3,Early,1.236957816331455
AGO3,Late,1.86505292378251
AIF,Early,31.641358922232598
AIF,Late,13.36241127428625
ALiX,Early,47.83540333255475
ALiX,Late,34.936673890741346
AP-1gamma,Early,33.86931587305115
AP-1gamma,Late,24.7354048222172
AP-1sigma,Early,33.176846441809246
AP-1sigma,Late,42.34498304668266
AP-2,Early,0.251051685933405
AP-2,Late,2.701155967386055
AP-2sigma,Early,19.421797667607798
AP-2sigma,Late,31.671324708503597
AP-47,Early,25.728139634563448
AP-47,Late,25.83933092840725
AP-50,Early,35.04228269593035
AP-50,Late,30.437756791099353
APC4,Early,13.8164636106989
APC4,Late,6.68497615920165
APP-BP1,Early,20.77427009713125
APP-BP1,Late,12.809870648851799
ASPP,Early,32.34672603152285
ASPP,Late,36.9421160622793
ATP7,Early,8.023417015763435
ATP7,Late,9.150746456465246
ATPCL,Early,41.7422619898458
ATPCL,Late,30.6069648308277
ATPsyn-Cf6,Early,160.505039637968
ATPsyn-Cf6,Late,162.117132971994
ATPsyn-b,Early,34.3429116669932
ATPsyn-b,Late,17.787648477191
ATPsyn-beta,Early,196.96123964324
ATPsyn-beta,Late,180.799450366125
ATPsyn-d,Early,115.328568095853
ATPsyn-d,Late,87.61791713372719
ATPsyn-gamma,Early,57.8812969450181
ATPsyn-gamma,Late,25.41020135409035
ATbp,Early,1.81219599841056
ATbp,Late,1.88500491422876
Aac11,Early,161.40590912966502
Aac11,Late,151.83029655072102
Aats-ala,Early,43.4743507530003
Aats-ala,Late,22.769984486019
Aats-ala-m,Early,11.9925077490322
Aats-ala-m,Late,5.65815036074463
Aats-arg,Early,47.51327900798345
Aats-arg,Late,30.589098484450602
Aats-asn,Early,185.08895988004952
Aats-asn,Late,88.08802197881946
Aats-asp,Early,27.67656507432635
Aats-asp,Late,19.0590647678661
Aats-cys,Early,13.82469054473705
Aats-cys,Late,7.0782017834320055
Aats-gln,Early,18.5464950183106
Aats-gln,Late,9.49464416413448
Aats-glupro,Early,29.275727630900697
Aats-glupro,Late,21.109457781234
Aats-gly,Early,139.3636767260235
Aats-gly,Late,82.93951232802675
Aats-his,Early,10.286313154150244
Aats-his,Late,4.681433900777445
Aats-ile,Early,44.43850415299515
Aats-ile,Late,19.50176495886515
Aats-leu,Early,1.9159408196546401
Aats-leu,Late,0.8645605314363811
Aats-lys,Early,59.537244271457695
Aats-lys,Late,16.307753618522952
Aats-met,Early,1.65450854383687
Aats-met,Late,0.5405479667420194
Aats-phe,Early,6.90175912795271
Aats-phe,Late,4.998693493736065
Aats-pro,Early,6.123071944254705
Aats-pro,Late,2.585524414540035
Aats-ser,Early,5.413352107798
Aats-ser,Late,1.99187840123613
Aats-thr,Early,27.421994928675048
Aats-thr,Late,11.70020032570535
Aats-trp,Early,17.78750429561925
Aats-trp,Late,11.9327900076523
Aats-tyr,Early,33.7288193489643
Aats-tyr,Late,28.68509048064525
Aats-val,Early,35.0446498578506
Aats-val,Late,15.998772816262651
Abd-B,Early,0.085709942943306
Abd-B,Late,0.1198681763060415
Abi,Early,76.80123043922555
Abi,Late,66.8558544723457
Abl,Early,58.099641032175356
Abl,Late,73.9052687371757
Ac13E,Early,21.48523307151165
Ac13E,Late,21.1610848916161
Ac3,Early,20.20573262494915
Ac3,Late,26.1090659932818
Ac76E,Early,5.507548381516125
Ac76E,Late,0.3880459289027195
Ac78C,Early,0.590643087354171
Ac78C,Late,0
AcCoAS,Early,2.2277898345483953
AcCoAS,Late,1.054736715186027
Ace,Early,0.303334188183676
Ace,Late,5.0906264720971155
Acer,Early,3.235624260882995
Acer,Late,7.254019083594851
Acf1,Early,214.258102832965
Acf1,Late,83.88418945132825
Ack,Early,121.26147220579051
Ack,Late,96.71706965848034
Ack-like,Early,300.225344289632
Ack-like,Late,176.201367298627
Acn,Early,622.833391227323
Acn,Late,372.24162293081054
Acon,Early,376.76948643999253
Acon,Late,186.9262413799915
Acox57D-d,Early,3.8903812236067803
Acox57D-d,Late,7.00701320273105
Acox57D-p,Early,11.19408020357915
Acox57D-p,Late,15.84796684744595
Acp32CD,Early,0.03054712297083845
Acp32CD,Late,5.450283682173235
Acp36DE,Early,0.02625942562473575
Acp36DE,Late,0.053015893742142
Acp53C14c,Early,0
Acp53C14c,Late,0.0466506626125997
Acp65Aa,Early,0
Acp65Aa,Late,0.2112771448414311
Acp76A,Early,0.0523251084408625
Acp76A,Late,0
Acp95EF,Early,0.02137767045494005
Acp95EF,Late,0.02157999039068925
Acph-1,Early,53.202911380177895
Acph-1,Late,51.35799590943635
Acsl,Early,83.8594633978984
Acsl,Late,103.95465935905214
Act42A,Early,1366.6833421584502
Act42A,Late,1382.2219357209601
Act57B,Early,13.6816444897167
Act57B,Late,9.052322631234741
Act5C,Early,2919.36285112921
Act5C,Late,1078.29725317371
Act79B,Early,0.0279629012627592
Act79B,Late,0.398006081816903
Act87E,Early,8.09243424890157
Act87E,Late,8.65772064872292
Act88F,Early,0
Act88F,Late,0.696777545764945
Actbeta,Early,0
Actbeta,Late,1.27233424061836
Actn,Early,33.61878028307475
Actn,Late,19.544580733603553
Actn3,Early,0.0160728756495057
Actn3,Late,0
Acyp2,Early,20.4662461966376
Acyp2,Late,34.03309252711565
Ada,Early,4.63826164207283
Ada,Late,2.19657351778182
Ada1-1,Early,1.46273195374344
Ada1-1,Late,1.1442268868415049
Ada1-2,Early,2.471124922121515
Ada1-2,Late,2.332457041282805
Ada2a,Early,14.2370661487385
Ada2a,Late,10.95122673159015
Ada2b,Early,25.327591870746552
Ada2b,Late,20.824520784220653
Adam,Early,72.18870130662725
Adam,Late,57.77233858109955
Adar,Early,54.6366224271324
